	past simple	imprf. comp.	gerund	compound gerund	jussive/imperative	n. past simple	n. imperfective	n. imperative/jussive
	ayyädaččəhu	tayyədallaččəhu	ayyədaččəhu	ayyədaččhwall	ayyəd	alayyädaččəhumm	atayyədumm	attayyədu
	ayyädu	yayyədallu	ayyədäw	ayyədäwall	yayyəd	alayyädumm	ayayyədumm	ayayyədu
አደሰ - renew	ማደስ							
	አደስኩ	አድሳለሁ	አድሼ	አድሼያለሁ	ላደስ	አላደስኩም	አላድስም	አላደስ
	አደስክ	ታድሳለህ	አድሰህ	አድሰሃል	አደስ	አላደስክም	አታድስም	አታደስ
	አደስሽ	ታድሺያለሽ	አድሰሽ	አድሰሻል	አደሽ	አላደስሽም	አታድሺም	አታደሽ
	አደሰ	ያድሳል	አድሶ	አድሷል	ያደስ	አላደሰም	አያድስም	አያደስ
	አደሰች	ታድሳለች	አድሳ	አድሳለች	ታደስ	አላደሰችም	አታድስም	አታደስ
	አደስን	እናድሳለን	አድሰን	አድሰናል	እናደስ	አላደስንም	አናድስም	አናደስ
	አደሳችሁ	ታድሳላችሁ	አድሳችሁ	አድሳችኋል	አደሱ	አላደሳችሁም	አታድሱም	አታደሱ
	አደሱ	ያድሳሉ	አድሰው	አድሰዋል	ያደሱ	አላደሱም	አያድሱም	አያደሱ
	maddäs							
	addäsku	addəsallähu	addəšše	addəššeyallähu	laddəs	aladdäskumm	aladdəsəmm	aladdəs
	addäsk	taddəsalläh	addəsäh	addəsähall	addəs	aladdäskəmm	ataddəsəmm	attaddəs
	addäsš	taddəšiyalläš	addəsäš	addəsäšall	addəši	aladdäsšəmm	ataddəšimm	attaddəši
	addäsä	yaddəsall	addəso	addəswall	yaddəs	aladdäsämm	ayaddəsəmm	ayaddəs
	addäsäčč	taddəsalläčč	addəsa	addəsalläčč	taddəs	aladdäsäččəmm	ataddəsəmm	attaddəs
	addäsn	ənnaddəsallän	addəsän	addəsänall	ənnaddəs	aladdäsnəmm	anaddəsəmm	annaddəs
	addäsaččəhu	taddəsallaččəhu	addəsaččəhu	addəsaččhwall	addəs	aladdäsaččəhumm	ataddəsumm	attaddəsu
	addäsu	yaddəsallu	addəsäw	addəsäwall	yaddəs	aladdäsumm	ayaddəsumm	ayaddəsu
አደመ - plot, conspire	ማደም							
	አደምኩ	አድማለሁ	አድሜ	አድሜያለሁ	ላደም	አላደምኩም	አላድምም	አላደም
	አደምክ	ታድማለህ	አድመህ	አድመሃል	አደም	አላደምክም	አታድምም	አታደም
